# x, y, gamma, sigma
-1.146346855377407215e+00 4.955606990511852716e-01 2.449520226631725014e-02 3.549218436347073569e-02
-1.228302512866561225e+00 4.770722369568152210e-01 2.449500892097785168e-02 3.920749290064774045e-02
-1.309676039052471985e+00 4.561755540365233230e-01 2.449526372731771623e-02 4.313465339987884728e-02
-1.390355357341974685e+00 4.327411246977189152e-01 2.449550356358588463e-02 4.696062244667672386e-02
-1.470212762956566444e+00 4.066494447689357750e-01 2.449501088531775769e-02 5.081292567146360878e-02
-1.549062480498476502e+00 3.776660007107370820e-01 2.449515333111929039e-02 5.505889476856969805e-02
-1.626679396525322119e+00 3.455333598107798165e-01 2.449513322394861192e-02 5.929840211302201541e-02
-1.702792728733052208e+00 3.099954386232224302e-01 2.449533484470645811e-02 6.358657215777077654e-02
-1.777031119360839462e+00 2.707056090315381192e-01 2.449502799070839981e-02 6.767267602883798860e-02
-1.848578229928725891e+00 2.267619040154307264e-01 2.449509807812423265e-02 7.402575667899387313e-02
-1.916181103615956616e+00 1.770137537804818417e-01 2.449542749337997941e-02 7.998869505834874105e-02
-1.976749259828500138e+00 1.191822837186941597e-01 2.449500439029978979e-02 9.097076569854654904e-02
-2.018902173808560629e+00 4.825988850831173377e-02 2.449547052109564763e-02 1.173630144398715019e-01
-2.006877421782096160e+00 -2.405828703290106840e-02 2.449521289260380916e-02 9.977106099126006877e-02
-1.939854708486619117e+00 -6.702648914900791177e-02 2.449497817079469494e-02 1.349970559685549458e-02
-1.857143287733135306e+00 -7.946288725492224592e-02 2.449511134382674135e-02 -9.892775494415863638e-03
-1.773212235331560471e+00 -8.009301494654602616e-02 2.449504371847754589e-02 -2.207651218078714520e-02
-1.689384656985053912e+00 -7.474296440613242831e-02 2.449553888222633785e-02 -2.854666071199354893e-02
-1.605840426511896180e+00 -6.588785490844853432e-02 2.449505153715806141e-02 -3.304570797565262869e-02
-1.522574406691074245e+00 -5.466996550505549834e-02 2.449522932932480732e-02 -3.597352894809334456e-02
-1.439531334315345967e+00 -4.188201409050740232e-02 2.449537522081736071e-02 -3.769876471149003622e-02
-1.356650043894684687e+00 -2.807738862792351353e-02 2.449507891599755904e-02 -3.852564860262799179e-02
